id,dialogue,options
96,A:其實奕瑄這樣的心態是可以被理解的	B:可是我先生他已經痛改前非了啊,A:接受人家的好意是一種美德	A:我認為要讓奕瑄重新打開心房 是急不得的 我們需要更多的毅力跟耐性	A:你就拿出勇氣接受大家的期望吧	A:說不定就像我們點仙女棒一樣 把兩個物質湊在一起 然後就發生超恐怖的爆炸	A:我只是想要早點接受訓練	A:如果他不肯接受我的道歉呢
97,A:媽媽 我跟你講 上次那個案子 明天就要正式發包出去了,B:今天我們全家一起去吃大餐	B:一個活動怎麼有這麼多的問題 烤肉殺價殺不了	B:原來回家的路上 有這麼多有趣的事	B:我發現我和世界 隔著一道厚厚的門	B:真的啊 真應該去慶祝一下	B:跟搭公車看到的風景 是不太一樣的
98,A:你知道高雄的舊名叫打狗嗎	B:這個不是基本常識嗎	A:那你知道我現在站的地方其實是海嗎,B:我阿公阿嬤是從澎湖來的	B:是比較容易去瞭解一些事情	B:這是黑心商人的作法	B:其實這裡大家很多不曉得	B:我已經沒有法寶了	B:真的假的 你怎麼知道
99,A:媽以為你是一時興起 沒想到你越做越開心 你想不想朝這方面的興趣發展	B:可是可以嗎,B:蝦子和鮭魚會各自產生怎樣的變化呢	B:打撈過水冰鎮鋪冰塊	B:還可以削成甘蔗筍來煮菜呢	B:當然可以啦 你只要選擇你所愛愛你所選	B:要不然我可以每天放學都打電話督促你讀書	B:可是今年店裡報名參加浮潛的人又多
100,A:哥哥 你想邀請誰來家裡跟你吃飯,B:我想邀請乾爸	B:發現很多幸運的事就發生在咫尺	B:有時候這不單單是球員可以決定	B:南韓人對精英教育系統失去了信任	B:把燈關上吧	B:真好奇這種不完全正確的觀念從哪裡來的
101,A:她可不只是叩來長相一樣的依依 彼此還互換衣服交換身上的氣味	B:這招還真絕,A:牠會去找氣味比較濃烈的	A:正所謂鍥而不捨 金石可鏤	A:但是對於追蹤犬來說 怎麼不會搞混呢	A:我們兩個換了衣服了耶	A:足跡就是人踩過的步伐	A:可能連回到學校都有點困難
102,A:奇怪 是走這條路沒錯啊 怎麼會來到什麼小烏來風景區,B:再也不用擔心因為流汗而看起來狼狽不堪了	B:你姓吳嗎	B:沒錯啦 義盛國小就是往裡面走	B:一元復始 萬象更新	B:這麼久不見 你看起來更魁梧	B:那邊種了很多的葡萄
103,A:這中間他都感覺不到你對他的好感嗎	B:沒有 我很會藏	A:他幫你這麼多,A:其實說不定他也有點喜歡你呢	A:你可以跟父母商量	A:或是找好朋友傾訴	A:千萬不要一個人悶著頭鑽牛角尖囉	A:有什麼事情	A:我是台北的紀老師
104,A:豆油伯我跟你講喔 我們禮拜天要辦成果發表會 你一定要來喔	B:要我去喔,A:豆油伯星期天你一定要來捧場	A:沒有一個人把我的話說對的啦	A:所以很多人就稱它為冬瓜山啦	A:對啊你才知道啊	A:打贏的才能得佳人的芳心	A:那我們要開始來做紮架
105,A:你看他們的婚姻 你覺得好嗎,B:即使如此 自己是男同志的事 也從沒跟媽媽說	B:她可能唯一就蠻擔心我還怎麼樣吧	B:她應該什麼都知道了	B:我說你們走了	B:不一定都不好	B:我不想要拿這種東西當賭注
106,A:這什麼東西	B:銅鑼燒	A:你是哆啦A夢對不對,A:只要他們高興就好	A:肚子飽了再講嘛	A:因為哆啦A夢最喜歡吃銅鑼燒了	A:我的聲音怎麼樣	A:沒有錢吃飯	A:基本上錢都是她拿
107,A:好熱鬧喔 看到他們這麼熱情的招待我 知道我要來 這麼大的場面來歡迎我,A:只要大家默契好一點	A:真是有點不好意思	A:一個西瓜切成兩半	A:這兩個女人可想而知	A:可是他們從不放棄	A:我跳海餵魚算了啦
108,A:那我們東邊升起的這一票星座呢	A:我們就叫做冬季星空	A:那是不是頭頂上還有星座對不對,A:是會發光的恆星	A:離我們最近的就是太陽系	A:那就是前一個季節的星座	A:然後自己不會發光	A:我們的衛星是月亮	A:那光一秒鐘就跑地球七圈半
109,A:這個扁柏館也是用扁柏蓋的啊,B:紅檜因為它的樹皮比較平滑	B:這樣子紙做的不會被吹倒嗎	B:不是 我們是用紙蓋的喔	B:是你自己跳到我們旁邊來的	B:說到檜木你會想到什麼	B:它又不會說救命啊
110,A:你們種在這邊的話 它的那個根都會到水裡 所以魚的卵都產在那個根上面	B:對	A: 鄭叔叔說,A:四角吊網	A:這個尖尖的是什麼東西	A:那個就是要抓魚時	A:把它拉起來	A:這裡的魚繁殖方式非常的特別	A:它就會浮起來
111,A:你會留在這裡嗎	B:我不知道,A:老闆娘這麼熱情喔	A:你自己輸牌就叫人家收東西	A:你離去背影如黃色玫瑰	A:晚上表演的東西也不收一收	A:那我跟你一起回漁港好了	A:愛情彷彿化妝舞會
112,A:天氣這麼熱你還會感冒	B:哈啾哈啾 才不是感冒咧 可能是你那個被子,B:牠三天三夜就吐光了	B:害我鼻子現在過敏	B:我回去還要仔仔細細地跟他們說	B:我今天做蠶絲被的過程	B:今天非常謝謝兩位的招待	B:要想打好籃球
113,A:跟我濂僑一起妙手走天下 絕對錯不了	B:那你能不能安排一趟果園之旅呢	A:今天就要介紹一個可以享受採果樂趣的農園,B:所以我們使用這個水耕點滴式栽培	B:它不能使用剪刀	B:從它那個果實上方一公分的節	B:我是第一次來採番茄	B:是什麼樣的農園呢	B:那我們採收番茄
114,A:請鄭組長來說一說 公部門為了推行無障礙環 做了哪些事情呢	B:我們大概第一個就是,B:我們依照身心障礙保護法第五十六條	B:帶一個完全沒有行動能力的腦麻患者出門	B:我一直安慰她說沒關係	B:他們還要忍受一般民眾那種異樣的眼光	B:這些是我們所樂於見到的嗎	B:但是從畫中色彩繽紛的花卉
115,A:考試交白卷這樣叫誠實啊 你有沒有羞恥心啊	B:不然你要我怎麼樣 作弊你會比較高興嗎	A:這是你跟老師說話的態度嗎 一點家教都沒有,B:你爸爸他沒良心 他在外面有了女朋友	B:好現在跟著老師呢 把這一課的課文念一遍	B:碧珊今天沒有來是不是有什麼事	B:簡直就是小太妹嘛 我們以後要跟她保持距離才好	B:碰到不會寫的題目 至少要填個答案上去	B:你罵夠了沒啊 考零分就考零分 你憑什麼罵我沒家教
116,A:總算考完了 還好你臨時幫我惡補 我這次寫得非常順	B:你怎麼啦 你應該考得很好吧,A:另外甲醛就像我們喝的假酒	A:我們公賣局不能夠太保守	A:這幾年台灣的氣候	A:我在想如果那天我沒有傳紙條給你 今天就不用再考一次了	A:我過去閃靈刷手的習慣都改掉了	A:因為不見得每個地方
117,A:不知道有沒有興趣 在演藝圈發展	B:我當然有興趣啊 不過我是一個很有原則的人,B:我只唱我喜歡的歌	B:我是覺得做明星沒有那麼容易	B:除了條件好	B:機會也很重要	B:不是像你唱的那樣	B:不顧一切地一頭栽進去
118,A:豆油伯 你怎麼有那麼多錢 你在藏私房錢對不對,B:沒有 這不是私房錢 這本來就是要拿去郵局存的	B:要是不趕快存起來 到時候一定會露出馬腳的	B:明天再拿去寄不就得了嗎	B:都已經快六點了 人家下班了啦	B:我明明放在這裡沒錯啊	B:不然我這杯咖啡請你喝啦
119,A:誰叫你是瘋狂百米小兵啊 這種要體力要速度的 當然是要你啊	B:我剛剛在拿這個麥克風 到處廣播的時候啊 我覺得這樣做 實在是很沒有效率耶,B:他曾經做過金氏世界記錄最長的風箏喔	B:於是聰明的我 就想到了一個方法	B:宇宙無敵最會做風箏的那個	B:剛剛那邊好多風箏喔	B:對啊這應該不大可能吧	B:這一次就由我親自出馬
120,A:我做錯什麼 為什麼要這樣對我	B:羽君 剛才一定是個誤會 大家解釋清楚就沒事了 你不要難過嘛,A:看起來這麼高貴的陳媽媽 居然曾經是個犯人	A:大概是淋了雨感冒 加上情緒不穩定 所以她不肯到學校來	A:這個橡皮圈太細了吧	A:這回咱們就大膽的 倒入一倍的液態氮吧	A:這不是誤會 是歧視 是成見	A:製作材質不一 承受壓力的程度也不同
121,A:阿嬤 你現在要去哪裡	B:要去樓上啊	A:要去做什麼,B:她常常一連幾天沒睡覺	B:廟裡的人形容阿嬤是獨行俠	B:要去工作啊	B:但是就是腳步不能停	B:我讓你們拍一下	B:這個是土地公幫忙的
122,A:聽說你們兩個很厲害 有那種很酷的發明	B:還好啦 但是發明倒是有 滿地都是,A:就把我們車子給毀了	A:本來是白馬王子 到後來就變成包青天了	A:那跟我們分享一下吧	A:其實大部分都是溝通的誤會所造成的	A:你看 它會自己滾回去	A:她在工作上很夠專業
123,A:輝哥你幫我看一下 我做的這張海報怎麼樣	B:地點跟時間都很清楚 內容也蠻豐富的 可是,B:如果可以把我們這個 下課花路米的隊徽加上去的話 我覺得這樣會更好一點	B:誰叫你是瘋狂百米小兵啊	B:如果我們把材料換一下呢	B:到處廣播的時候啊 我覺得這樣做 實在是很沒有效率耶	B:他曾經做過金氏世界記錄最長的風箏喔	B:於是聰明的我 就想到了一個方法
124,A:卻選擇在不到三十歲的時候 拋棄了自己的家庭 當時他的兩個小孩都不到五歲	B:我是被逼的啊,A:個性比較寡言木訥的珮華	A:應該也猜不到就不猜了	A:我是被我的父母逼的	A:並沒有給答案	A:倒是友志很有系統的	A:綜合了大家的意見
125,A:臉上就明明寫著不開心 你到底怎麼了嗎	B:你要我講什麼 我就是不開心	A:不開心也總有個原因 你就告訴媽媽,B:我不是來興師問罪的	B:紀老師啊 實在真的很對不起	B:她回到家都悶悶不樂的	B:可是她到了學校 這樣畏畏縮縮的	B:芳儀她的個性是有柔弱一點	B:講有什麼用 說不定還被你唸
126,A:他只是個沉迷嘻哈音樂的少年 一聽到嘻哈音樂 就忍不住想跳舞,A:人類歷史上最屎爛最刺激	A:最霸道的嘻哈戰爭	A:已經進入到高潮	A:將有一個人會幹掉其他人	A:一跳舞身體就停不下來	A:並代表台灣
127,A:哦妳還在生氣喔 好啦以後我不去了啦	B:當初媒人說你不喝不賭 我以為你是可以讓我依靠一輩子的人,A:阿蘭還沒和海生結婚之前在台北工作過	A:你若不讓他出來小孩子不就沒事	A:長得好看的人做不了什麼事	A:好啦好啦不然我發誓 我絕對不再賭了	A:沒有啦以前我老爸是拳頭師父啦	A:王祿仔 這時候很少有人來擺王祿仔
128,A:楊伯伯 你們對淑怡的未來有什麼打算沒有	B:這樣呢 我們就是希望她的畫藝能夠更進步,B:我們希望說也趕快把它改過來	B:鄭組長講的這個	B:我們都一直在推動	B:政府也一直在推動	B:但是有些不合時宜的法規	B:生活可以更穩定
129,A:小兵哥哥 你要不要綁綁看	B:我可以綁是不是,A:那個看起來更刺激	A:所以人和馬一起共同的努力 這樣才能拿到好成績嘛	A:所以上馬是沒有問題的	A:可以啊	A:每個人都可以有他自己的想法呀	A:你願不願意跟老師談談
130,A:我覺得我什麼事情都做不好 常常都惹同學生氣	B:怎麼會呢,B:我們都會犯錯	B:你做事情認真	B:那種堅持到底不服輸的精神 老師常常看了都很感動	B:我每次都想做好 可是常常出錯 同學都不喜歡我	B:洪震 好勇敢喔	B:你只要保持自己這些優點 做自己才是最重要的
131,A:警察叔叔你拿這是什麼,B:增長見識一番	B:幫你介紹一下 這就是鐵樹的花	B:是新的東里火車站	B:鐵道已經生鏽	B:對火車的一切	B:設立於西元一九○○年
132,A:你有買零食喔 那我也要吃,B:名額已經滿了	B:那我也要去	B:不行啦 這個是我下禮拜去露營要帶的	B:你要去露營啊	B:你是誰啊	B:你怎麼會問我這個問題
133,A:那你從幾歲的時候開始在學做打鐵,B:客人最好是有日本淵源的	B:你在做什麼	B:初級中學畢業就開始做	B:全部的人都到齊了只缺主角	B:他原本是個威武雄壯的軍人	B:它大概有一百三十歲左右
134,A:小光來 爸餵你	B:海生仔你這樣在幹什麼 餵小孩讓阿蘭餵就好,A:所有的漁村我都找遍了	A:假如說肚子疼不可貼肚臍	A:你們看那王祿仔怎麼了雨這麼大怎麼不避雨	A:老闆再炒二盤菜來 這兩個不夠看	A:吃飯皇帝大你站起來幹嘛	A:我以為我沒機會再見到妳了
135,A:很討厭耶 那麼甜蜜幹嘛	B:你嫉妒人家喔,A:我覺得有點喘不過氣來	A:珍妮說說看	A:青蘋果的滋味	A:我才不是嫉妒呢	A:去享受採果的樂趣	A:我們單車騎士騎乘的水泥路
136,A:那你為什麼喜歡來這裡,B:因為這裡很多朋友	B:我媽媽說她在上班	B:學校老師請阿嬤幫忙的	B:這群可愛的小朋友 就是阿嬤的寶貝孫	B:每天一定幫大家準備點心	B:外面的都有發粉的味道
137,A:你什麼星座	B:射手 你呢,A:處女	A:我不見得知道	A:這是很自然的嘛	A:這個回答非常好	A:活到現在為止是這種狀態	A:他很皮啊
138,A:我爸爸很喜歡一邊看電視一邊挖鼻孔,B:找不到好的角度切入	B:髒死了你爸真的都這樣做喔	B:拜託教我怎麼寫	B:冰箱裡有水果 拿去吃	B:上網查就可以找到答案了	B:急救箱放在哪裡
139,A:我不想讓同學知道我爸爸坐過牢 很丟臉耶	B:奕瑄 你怎麼可以這樣講話 這樣很沒有禮貌耶,A:你懂不懂得餐桌禮貌	A:你的禮貌可多著呢	A:既抽菸又亂丟垃圾又沒禮貌	A:反正 你叫爸不要再來學校接我就對了啦	A:這可是公共場合喔 你可不要 讓他們再相互餵食喔 這很沒禮貌的	A:大家要注意選舉應有的禮貌
140,A:請問鍾沅搬走了嗎	B:對呀,A:怎麼不先躲一下呢	A:這恐怕才是我真正擺不平的吧	A:老師 好久不見了	A:不曉得耶	A:失去鍾沅的那一年 我幾乎崩潰	A:她搬去哪你知不知道
141,A:你做這陶土做多久啦 怎麼這麼快啊,B:他們可以留一些回憶	B:我剛剛在外面有看到耶	B:可是你已經做得很可愛了	B:做差不多三年	B:你不要取笑他	B:因為都是自己做的東西嘛
142,A:來 你幫他登記一下	B:阿輝 不好意思 你這是別的郵局開戶的 我們這裡不能存喔	A:一樣都是台灣郵局的 為什麼不行,B:因為我們這裡都用手工的	B:沒有休假那我們就照開	B:這就是我覺得很特別 有那種人情味的地方	B:因為我們這行動郵局只限於在這裡開戶的 才可以在這裡存	B:其他郵局開戶的也不行	B:麻煩我幫他存這五千塊
143,A:你們剛剛有聲音嗎	B:當然有,A:可是我那邊完全什麼都聽不到	A:當然牠的構造上面 跟我們也不太一樣	A:這狗的聽力怎麼那麼好啊	A:狗狗天生就有一副好耳朵	A:所以咱們蔓蔓沒聽到聲音也是應該的啦	A:你怎麼那麼聰明啊
144,A:來信真的是太踴躍了	B:當然 應該說是我很有魅力 不然怎麼都指名要我幫忙	A:很多人被你的外表騙了 其實論功力來講 我仍凌駕在你之上,B:聽你亂說 你真的是會吹牛	B:我的服務對象是擅長編織中國結的邱惠群小姐	B:因為即將過年 店裡面準備大掃除	B:第一次為聾朋友服務 我好緊張	B:為了贏得勝利 我一定要盡全力衝刺	B:何況我還沒有見過她
145,A:可是滅火器 基本上它不是因為美觀的時候才要用 滅火器是在你面對到災害的時候,A:是辛苦存了多年買下來的	A:他們很珍惜	A:除了這些用心的佈置	A:你方便用	A:能讓這個家不但漂亮	A:但願今天的防災突擊
146,A:你是說只要我在外型上做改變 就可以化解了嗎,B:多少有點幫助吧	B:你的臉色很難看耶	B:物超所值耶	B:送她去保健室	B:看來最近大家對算命這件事情 挺熱中的喔	B:民國幾年幾月出生
147,A:不覺得我們相處時間太多了	A:失去很多和其他同學相處的機會	B:我做錯什麼,A:絕對錯不了	A:沒有啊 你沒有做錯什麼	A:會想請誰來吃晚餐呢	A:是我的姊姊幫我報名的	A:叫做掃叭隧道	A:你會一點點手語耶
148,A:我覺得你們好棒喔 就是小小年紀可是對哈瑪星這個地區這麼瞭解	A:你們是透過什麼方式來認識這個地方的,B:媽在旁邊指導你可不可以	B:我們在民國五十年代六十年代	B:但是我對她還是好奇心蠻大的	B:小站小站每一站的車票嘛	B:學校都會有社區巡禮都會來到處參觀	B:那也是用這個原理
149,A:他當初的出發點 也是為了我們 為了這個家 不是嗎	B:就算他是為了我們這個家 他也不能做違法的事啊,A:你要選里長嗎	A:奕瑄 你說的沒有錯 可是你爸爸為他做的錯事 也付出了代價 不是嗎	A:那里長伯幹嘛要抗議啊	A:就像我們這個萬里長城	A:我是里長嬸	A:亂開玩笑是要付出代價的
150,A:你要幫我帶一包東西 去給吳佩珊同學	B:好 沒問題 那吳佩珊是誰,A:她是台大的學生 她專門在研究神秘果這樣	A:那是不是有機會可以讓我採一些回去	A:那吃了這個神秘果 是不是以後吃酸的都變甜的	A:譬如說糖尿病患者 他對那個糖分的吸收比較不好	A:它會把你的酸的味蕾鎖起來 甜的打開	A:你看 我都沒有很酸的表情
151,A:海浪大的時候 海浪就會翻動比較大的礫石 把海底的礫石給沖上岸,A:整個比賽場地我都去看過了	A:它就變成礫石灘了	A:所以我們把它阻擋下來	A:又怪我們	A:你們要去跳這個撐竿跳	A:在台灣裡面有三個地方有
152,A:它的手還會動耶 有沒有 很可愛	B:對啊 可愛是很可愛啦 但是對於我們男孩子來講,B:這個好像太平淡了一點嘛	B:然後又坐在這種戶外	B:我在做環保玩具啊	B:我才不怕呢	B:也可以動動手喔	B:不用花到一毛錢
153,A:你那個水分要不要多一點 你那個根本就沒有水分	B:我放了啦	A:那麼少的水分 等一下要加米酒不是嗎,A:為什麼螃蟹的眼睛 沒有人在吃啊	A:所以你要把這個也當成 工作的一部分	A:它比一塊錢還要小耶	A:你一個月花這麼多錢 你錢從哪裡來的	A:這蘋果聞起來好香喔	A:你要加米酒 你也是可以放水多一點
154,A:我跟大家補充一下 寇家瑞先生是寇世勳先生的兒子	B:對 可是很不像你有沒有覺得,A:所以我才說我要補充一下 要不然大家沒有辦法聯想	A:的身體的手腳這麼長耶	A:我已經忘記他幾公分	A:那家瑞有一個孩子臉 就是非常孩子氣	A:然後我這次也覺得 佳穎進步好多	A:他不是那種性格派 他就是一個孩子氣
155,A:你到底有沒有去看醫生啊	B:感冒啦 過兩天就好了,A:多尊重我一些意見	A:你還逞強 看你咳成這樣子 感冒可是不能拖的	A:我們應該可以更好相處吧	A:你看你自己這個樣子 簡直未老先衰啊	A:但是我就是憋不住	A:別說什麼年輕體力好 再好的身體也吃不消
156,A:陳韋辰 你沒事吧	B:沒關係	A:不舒服就不要跑 我幫你跟老師講,B:那什麼才叫真的算命呢	B:不要啦	B:誰稀罕當女總統啊	B:你是什麼座的啊	B:你不是不相信連娟微嗎 怎麼也跟著排起隊來啦	B:餓上三天 鐵人都會掛
157,A:開始搬東西 師母開車	B:師母怎樣,A:就覺得說這師母會不會太厲害	A:最後有一天 我們的製作人黃玉明跟我說 你知道嗎 師母是政大畢業的	A:台灣有時候就是這樣子 處處讓你感動跟驚喜	A:好厲害喔	A:對 這種堅持 這種相處	A:那一步轉身過來的時候 是什麼樣的人生
158,A:我覺得很好	B:所以自己給自己打幾分,A:一百分	A:這年頭企業要經營形象真不簡單	A:大家在罵的事情都差不多	A:我是腫瘤科醫師	A:兩種說法都同樣的糟糕	A:靠讀書填滿人生的人 很難理解
159,A:我還以為是什麼新奇的玩具 原來是我小時候就玩過的扯鈴,B:星期的手語我現在要教囉	B:你剛剛才跟我說 作業不都是你自己寫完的嗎	B:另外一個比法是在手錶的位置	B:星期六早上八點半集合的時候 記得喔 把英文作業帶來 借我觀摩觀摩一下	B:對啊 有沒有很羨慕呢	B:我跟你說 你不要小看這個扯鈴 這可是曾經讓外國人 都很著迷的國寶玩具
160,A:不要一直逼我背台詞 我的腦筋不好	B:濂僑 全天下人都知道 濂僑你是NG大王,B:像戴老師這麼傑出	B:把這個家園蓋起來	B:人家當然要緊盯著你練習是啊	B:後來以跳舞才走出另一片天	B:他也說我手上沒有什麼錢	B:一起來欣賞吧
161,A:她媽媽曾經是個犯人喔	B:看不出來 真的被她騙了	A:她到底犯了什麼罪 為什麼會去坐牢呢,B:下一次說話要考慮 不要傷了別人 再來道歉	B:你還在生我的氣啊	B:我沒看到前面的報導 只知道她曾經坐牢就對了	B:算你們還有一點良心	B:可不可以請你幫我們 轉交這張卡片給陳羽君	B:你們自己做錯了 還推卸責任
162,A:少瑄為了主奏 陷害李芯	B:怎麼這樣 她們不是很好的朋友嗎	C:太可怕了 沒想到少瑄竟是這種人,C:反正我只是個候補	C:比較沒關係啦	C:你們好厲害喔	C:我沒有這個能力	C:因為我受傷的事情只有告訴她	C:看來要多提防她了
163,A:你幹嘛推我啦 弄破了	B:是小中絆倒我的,B:市面上有很多黑心的化妝品	B:不是我啦	B:我們來做個實驗	B:來 我們來好好練一下	B:你沒有看過布袋戲嗎	B:要先吃葡萄柚
164,A:驚心動魄的滴血認親情節 宮中貴妃被皇后誣陷與太醫有染 指出所生的皇子,A:是要做什麼實驗呢	A:特別準備了石斑還有龍蝦	A:你看看主任對我們倆有多好	A:知道我們剛剛抽完血	A:身體可能有一點點虛	A:並非是皇上的龍種
165,A:其實你跟她也很熟啊 她就是知名的廣播主持人 劉麗紅,B:這大家應該就不知道了吧	B:但是她是如何從一個自卑自憐 痛苦矛盾的女孩	B:劉麗紅的人生故事嗎	B:原來是她啊	B:不過你知道嗎	B:她是劉麗紅
166,A:她要求我讓她到班上 向各位同學道歉	B:老師 陳媽媽又沒有做錯事 為什麼要向我們道歉,A:不過最重要的 還是要把自己的心理建設好 以平常心去面對	A:我也是這麼覺得 所以我拒絕她了	A:她到底犯過什麼罪呀	A:只要你肯原諒媽媽 媽可以做任何事來補償你	A:你感冒好了嗎	A:你早把事情說清楚 不就沒有這種情況了
167,A:面對這五花八門的小技倆,A:你能瞧出箇中奧妙嗎	A:獲選之後當然是很開心囉	A:可不可以先跟觀眾朋友們問聲好啊	A:他就是我們今天的主角	A:踏實的一步一步往前走	A:你不要取笑人家了啦
168,A:我是說加上這個月的零用錢 剛好存夠四千多塊啦	B:是這樣 那你存了多久 你該不會是偷你媽的錢 來買的吧	A:你說那什麼鬼話,A:幹嘛要這樣	A:反正你球打得那麼好	A:老師一定會選你參加比賽的	A:我像是會偷錢的人嗎	A:這就是你的球技	A:不如我的原因了
169,A:我覺得不公平 我們都贏不了男生 但老師卻說訣竅在以柔克剛,A:對消費者都不公平	A:這個遊戲最重要的就是 不能靠蠻力 要靠這個 來出奇制勝啊	A:訣竅只有一個	A:沒關係 大家公平競爭嘛	A:任何比賽都是公平的	A:對誰都不公平
170,A:認識的同學我都打過啦	B:同學都說他下了課之後就回家了 奇怪	A:我去公園球場看看好了,B:你現在才十四歲	B:那為什麼曾建勝跟王柏翰他們就有	B:要手機做什麼啊	B:那我去網咖看看好了	B:別人家的事情我管不著	B:不要學著流行
171,A:阿爸阿蘭身體本來就不太好 她又很怕生啊	B:再怎樣她也要來廟裡拜一下 人家說有燒香有保佑咱討海人靠海吃飯,A:總共我才看你輸不到五百元怎麼沒錢了	A:好啦阿爸 人少的時候我再帶阿蘭來燒香啦	A:當初媒人說你不喝不賭	A:我姓蕭 蕭先生	A:什麼怪水 以前一直說這是毒龍潭	A:先別急 這個情況是這樣子 我也不知道
172,A:不好意思喔 這樣子麻煩你們 真的不好意思,B:上次教你幾道菜 今天輪你下廚	B:現在時間很晚了 我先送你回家	B:辦法我已經想好了	B:沒事 只是膝蓋有點痛啦	B:對於這樣的成績 你們滿意嗎	B:不要這麼說啦 我也有責任
173,A:為什麼不給牠做成圓的	B:因為做成圓的話,B:那我們這個步驟做完了	B:接下來咧	B:接下來就是要用清水把它沖乾淨	B:沖乾淨以後	B:我們再把它晾乾	B:我們要處理起來很麻煩
174,A:不過這個本氏液是幹嘛用的	B:你不知道喔	B:來 小中解釋給他聽,C:先喝檸檬酸它本來的味道 證明它本來是酸的	C:可是要把這麼小的細胞切成兩半 過程很複雜也很專業	C:沒問題 看我的秘密檔案 本氏液它是藍色的液體 它是醣的指示劑	C:所以我們在這邊 準備了三支的試管	C:會讓我有那種有為者 亦若是的雄心	C:今天我們就要來實驗看看 神秘果裡面到底含有什麼樣的成分
175,A:你是說我這一生 戀愛婚姻都不可能會幸福啊,B:天下沒有不勞而獲的事	B:這本來就是我們當老師 應該要做的啊	B:拜託你不要那麼全心的投入好不好	B:你這禮拜遲到多少次了	B:幫我算一下我今天的考運是怎樣	B:不是我說的 命盤是這樣顯示的
176,A:第一類在這裡 這三個大概是對,B:不可以說大概 要確定是對 一定是對	B:所以老師妳是不反對我參加龍隊了	B:我反對	B:大概是我比較笨啦	B:我也不會堅持反對你去念高職	B:不過其實慧玲她是一直反對的
177,A:我本來想要參加徵文比賽的 結果這個題目是我的家庭 要怎麼寫啊	B:拜託好不好 像這種老掉牙的題目 從小到大我們不知道寫多少遍	C:對啊這樣你還寫不出來喔,A:難怪在日本會大受歡迎	A:再也不用擔心因為流汗而看起來狼狽不堪了	A:我的夢想遙不可及	A:就是寫太多遍 寫到最後我現在都沒感覺了	A:你都灌什麼防毒軟體阿	A:這本武俠小說劇情太精彩了
178,A:老師 我怕我做不好,B:他還曾經跟我講說	B:就算漁民們使用百萬分之一微量濃度的吊白塊	B:看是see過去看是saw	B:而且到現在活得很健康	B:你放心 有這麼多幫手在 老師對你的才藝有信心好不好	B:是這個地區很具代表性的西子灣
179,A:是梁老師私底下把你那幅綠島風情畫 寄去比賽的	B:為什麼,A:這是我的努力 我的夢想	A:現在我們就請校長頒發 我們請陳妍如同學上台領獎	A:你的優異表現 是我們綠島國中的光榮	A:媽 你怎麼來了	A:因為我們覺得 既然你那麼有畫畫的天分跟才華 就應該接受各種公正客觀的肯定	A:看著妍如與她媽媽相擁而泣的情景 心裡的感動真是無法言喻
180,A:第一關實習要跟的是外科 特地請了外科主任一起來吃飯,B:你這個人就是心太軟了 喜歡幫助別人	B:如果我不去就不夠朋友 對不對啊	B:老師不是說 同學應該要互相幫忙的嗎	B:真的嗎 心臟外科主任 他是我的偶像耶	B:只要不逼我寫作業 什麼都好	B:我們倆教了一連串的手語 現在先來練習 關於外科的手語對話
181,A:原來是這樣啊 難怪她一直跟我收利息 我還一直賒帳跟她買東西 真的很不好意思	B:沒有關係 老師知道你是無心的,A:妍如她會特別計較金錢 那是有原因的	A:老師 我下次跟她買東西 一定不會再賒帳	A:所以這些錢 是她們自己光明正大賺回來的	A:鈺婷 你說的話說到要做到	A:好了我們開始上課	A:老師 謝謝你來看我
182,A:你有想過去流浪嗎	B:好像有過吧	A:阿明,A:可是	A:可是究竟什麼東西	A:你愛上我了對不對	A:不是丟了什麼東西	A:我就是想不起來	A:我想去流浪
183,A:你們到底要借竹竿做什麼	B:我們要比賽 撐竿跳	A:你是說真的還是假的,B:當那個讀書會主持人嘛	B:直接騎用馬達的	B:當然是真的啊	B:有沒有什麼好玩的	B:底下這個很深	B:潮濕就會有很多的水蛭
184,A:沒有人知道這件事 可是我自己就這樣臉紅到不行 覺得丟臉	B:可是你父親 母親 知道這件事嗎	A:不知道他們也不知道 都不知道,B:就是上禮拜穿過的衣服	B:那正好當時的青蛙王子高凌風 他要出唱片	B:所以你的人生經歷 是非常豐富的	B:那不是鹽啦	B:所以吃的東西如果想要保存久一點	B:這樣的話放了很久也不會壞
185,A:我就簡短的回答,A:而自己沒有媽媽	A:可能一時不適應	A:因為也不想多說什麼	A:孩子還在念書的時候	A:都是需要我來做	A:他們都會一直講
186,A:涂先生 那一次養那麼多的蠶 平常要怎麼照顧牠們啊	B:我們只有餵桑葉給牠吃就可以了 現在正在牠要餵食的時間,A:我今天來這邊就是想要學怎麼做蠶絲被	A:那可以請你帶我去參觀嗎	A:那我們就一起過去吧	A:真的嗎	A:那我們趕快餵牠吃	A:真的
187,A:你怎麼能把自己弄成這樣,B:我有怎麼樣嗎	B:課本拿出來	B:筆電很貴耶	B:我不捐錢	B:沒機會了	B:一定會感覺很窩心
